 Bench  Longitude  Latitude Disp E (mm) Disp N (mm)    Err E       Err N
   130 139.67583  36.36034  -215.21500   116.37569   167.66879    202.50910   
   174 139.17782  36.54107    92.03493   -25.30297   155.38907    146.08530   
   131 140.10714  36.22546  -115.18278   231.52046   230.33777    272.61117   
   146 139.19054  36.00585  -231.01159   257.40480   200.07605    199.92813   
   129 139.88771  36.57005  -257.11566    95.52255   145.60519    176.38873   
   126 139.49129  36.76521    22.67800  -165.76096    93.49845    102.08327   
   128 140.22984  36.61753  -231.31208   102.62705   188.07302    194.42816   
   127 140.58825  36.62104  -299.08759   106.96821   263.76530    235.63172   
   171 138.11371  36.89279   568.60517  -268.22879   319.23635    274.55264      
   144 138.48445  37.28961   191.43059  -387.37580   226.55272    211.81616      
   173 138.56002  36.74212    29.28961   -83.26775   226.57697    171.13108      
   178 138.02193  36.48429   185.70290  -233.01127   396.24724    333.57053      
   180 138.59792  36.27975     4.42016   -40.64482   291.13424    275.98787      
   177 138.39216  36.55374   261.43376    24.03659   296.84763    255.42038      
   145 138.95523  36.98302   -46.64045  -141.74261   135.21575    109.78602      
   183 138.29557  36.10382   -40.80768  -137.95709   380.63319    430.49454      
   123 139.35427  37.04766    61.30817   -68.81123    81.33215     83.88853       
   143 139.23405  37.34365    62.80049  -204.85252   108.40275    118.46522       
   121 139.71521  37.36322   -10.25111   -57.03196   114.62890    112.57415       
   125 139.77721  36.90003   -37.34301  -182.32208   101.49200    104.61190       
   139 139.14320  37.95139   141.98914   601.73659   192.22305    257.35406      
   142 139.34585  37.62247    91.07793    71.16202   134.76782    165.75499      
   140 138.81682  37.71863   181.51475    40.58627   222.21358    229.45963      
   137 139.51495  38.12783   153.07735    43.71626   204.75936    244.12172       
   117 139.70757  37.85488    78.85822    92.46705   159.41543    201.07722       
   136 139.84952  38.34299   -49.03312   239.57462   192.72046    231.64012     
   118 140.24478  37.73541   -36.75877   -66.53536   160.37019    179.47113       
   114 140.16519  38.22678   -74.96470    86.28918   170.77943    207.29036       
   115 140.47677  38.09445   -29.21061   -84.49045   176.34970    218.01569       
   120 140.20474  37.37407  -194.32428  -156.12307   154.87520    155.22928       
   119 140.70207  37.35495  -425.94872  -224.39187   221.92758    220.08907       
   116 140.79366  37.80050   -93.87656  -145.63760   208.58980    235.56255       
   124 140.27342  36.93021  -275.37657   -12.39760   171.00424    159.42731       
   330 139.96186  37.15020  -100.06517  -183.15480   119.02492    118.76744       
   122 140.74896  37.06635  -530.54083    -4.51099   254.23685    228.79025      
   134 139.74797  38.76299   285.05424    47.97575   234.28330    228.76937       
   109 140.21978  39.03204   440.03380  -194.39849   185.43301    187.74173       
   111 140.21096  38.52929    13.63773   119.29288   173.44094    205.30193       
   102 140.35574  39.29688   297.40807  -297.42147   161.26537    138.43272       
    96 140.31115  39.79700   173.78195  -447.83385   190.80006    181.08431       
    98 140.75469  39.57040   226.29597    10.74794    94.39350    104.38215       
   105 140.82926  39.16369   154.23909    -6.91912   105.16850    113.20196       
   110 140.78883  38.96094   217.83921   -20.20008   121.76910    145.46654       
   101 141.18986  39.33785   150.91793   243.07189    82.82815     92.64534       
   106 141.18438  39.01291   273.90570   268.20999   113.30555    144.94991       
   107 141.44763  38.97522   202.22102   340.06450   126.56408    174.58053       
   108 141.17213  38.56479   336.86158   290.76064   163.96274    230.50595       
   103 141.40212  39.20116   157.82484   227.91449   109.41146    128.51318       
   113 140.82537  38.18969    63.39277   -69.98437   196.59388    245.07500       
   112 140.62029  38.45548    90.17153    97.13592   168.87641    204.70501       
    95 141.00145  39.85261   -47.15311   165.00622   103.89596    147.34357       
    99 141.48944  39.55835    -9.98157   346.71327   131.03681    113.64095       
   104 141.72951  39.20398   120.85264   300.35701   167.23538    172.30222       
    88 141.58479  40.40068  -617.82974    84.45040   294.00089    329.91233       
    89 141.30880  40.38796  -638.22951  -297.10770   251.28009    330.84038     
    92 141.75889  40.04966  -353.36482   470.75543   258.98087    220.53945       
    93 141.54140  40.03803  -150.14419   352.27125   205.29998    203.56810       
    90 140.94481  40.24601   -40.70172  -166.37713   179.99877    275.09669       
    87 140.40931  40.42847   114.65336  -541.56329   253.72897    410.09811       
    94 140.54463  39.97675   226.58031  -195.20091   156.46453    209.16649      
    91 140.13072  40.18741   104.54944  -350.84245   284.20886    340.99852       
    97 141.78148  39.72688   -28.46779   496.10753   213.86032    170.92702       
   100 141.97527  39.53859   127.71167   256.17534   245.06951    186.44567       
   377 140.44891  38.84023   -39.28056    16.35932    51.08474     21.80427      
   376 140.11323  38.83542   -29.79895    13.11268   118.16949     36.27133     
